City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,sembakung,3.8167,117.25,33.460000000000036,52,67,0.9,ID,2022-11-29 03:34:29
94,longyearbyen,78.2186,15.6401,2.910000000000025,81,75,5.14,SJ,2022-11-29 03:30:48
95,nevers,46.9167,3.3333,5.480000000000018,97,100,2.34,FR,2022-11-29 03:34:29
96,martapura,-3.4167,114.85,28.05000000000001,78,20,2.57,ID,2022-11-29 03:34:29
97,esperance,-33.8667,121.9,22.05000000000001,48,0,5.31,AU,2022-11-29 03:34:30
98,makakilo city,21.3469,-158.0858,23.860000000000014,78,0,2.06,US,2022-11-29 03:34:30
99,pivijay,10.4617,-74.6162,22.910000000000025,94,87,1.34,CO,2022-11-29 03:34:31
100,thunder bay,48.4001,-89.3168,0.9900000000000091,86,100,4.12,CA,2022-11-29 03:31:16
101,rio grande,-32.035,-52.0986,20.08000000000004,85,0,6.48,BR,2022-11-29 03:34:31
102,lorengau,-2.0226,147.2712,29.75,62,34,3.69,PG,2022-11-29 03:34:32
103,castro,-24.7911,-50.0119,15.150000000000034,99,100,2.27,BR,2022-11-29 03:34:32
104,tortoli,39.9256,9.6572,10.900000000000034,82,40,3.6,IT,2022-11-29 03:34:32
105,atuona,-9.8,-139.0333,25.55000000000001,73,10,4.81,PF,2022-11-29 03:33:28
106,ahipara,-35.1667,173.1667,16.80000000000001,94,100,3.74,NZ,2022-11-29 03:32:06
107,ingham,42.6,-84.3833,2.170000000000016,79,75,2.06,US,2022-11-29 03:34:33
108,san cristobal,7.7669,-72.225,17.100000000000023,98,88,1.42,VE,2022-11-29 03:34:33
109,shimoda,34.6667,138.95,22.200000000000045,79,97,9.64,JP,2022-11-29 03:34:34
110,ugoofaaru,5.6667,73.0,27.060000000000002,72,35,0.72,MV,2022-11-29 03:34:34
111,vila velha,-20.3297,-40.2925,22.970000000000027,94,100,8.23,BR,2022-11-29 03:34:35
112,vanimo,-2.6741,141.3028,28.620000000000005,73,100,1.73,PG,2022-11-29 03:34:35
113,tuktoyaktuk,69.4541,-133.0374,-21.99999999999997,77,100,4.63,CA,2022-11-29 03:30:37
114,cape town,-33.9258,18.4232,23.950000000000045,66,0,5.14,ZA,2022-11-29 03:27:03
115,faanui,-16.4833,-151.75,26.30000000000001,74,15,5.08,PF,2022-11-29 03:34:36
116,narrabri,-30.3167,149.7833,29.180000000000007,31,0,0.89,AU,2022-11-29 03:34:36
117,isangel,-19.55,169.2667,29.150000000000034,73,74,4.94,VU,2022-11-29 03:34:14
118,tazovskiy,67.4667,78.7,-12.67999999999995,96,100,2.36,RU,2022-11-29 03:33:16
119,iqaluit,63.7506,-68.5145,-20.149999999999977,77,75,10.29,CA,2022-11-29 03:32:02
120,bubaque,11.2833,-15.8333,26.810000000000002,60,6,2.92,GW,2022-11-29 03:34:24
121,gazojak,41.1875,61.4036,2.7600000000000477,27,52,2.06,TM,2022-11-29 03:34:37
122,lagoa,39.05,-27.9833,18.350000000000023,88,3,12.56,PT,2022-11-29 03:33:16
123,ulagan,50.6321,87.9563,-21.879999999999967,71,31,0.34,RU,2022-11-29 03:34:38
124,bredasdorp,-34.5322,20.0403,17.100000000000023,92,58,1.32,ZA,2022-11-29 03:33:10
125,plettenberg bay,-34.0527,23.3716,20.189999999999998,70,21,1.27,ZA,2022-11-29 03:34:39
126,iracoubo,5.4802,-53.2011,24.55000000000001,90,100,3.89,GF,2022-11-29 03:34:39
127,yagodnoye,62.55,149.6667,-25.19999999999999,98,100,1.82,RU,2022-11-29 03:34:39
128,kupang,-10.1667,123.5833,29.32000000000005,84,75,2.57,ID,2022-11-29 03:34:05
129,vila franca do campo,37.7167,-25.4333,20.110000000000014,93,100,8.2,PT,2022-11-29 03:32:12
130,flin flon,54.7682,-101.865,-8.71999999999997,92,100,6.89,CA,2022-11-29 03:34:40
131,pandan,14.0453,124.1694,29.29000000000002,77,100,4.27,PH,2022-11-29 03:34:41
132,poum,-20.2333,164.0167,27.560000000000002,79,67,7.27,NC,2022-11-29 03:32:26
133,eyl,7.9803,49.8164,24.400000000000034,72,92,6.54,SO,2022-11-29 03:34:41
